Topic,Sub-topic,Question,Explanation,Image
Genetics,Linkage Group,What is a linkage group?,"SHORT ANSWER: A linkage group is the set of all genes located on a single chromosome that tend to be inherited together. The number of linkage groups in a species equals its haploid chromosome number.

LONG ANSWER: All genes physically present on one chromosome form one linkage group because they are transmitted as a unit (subject to crossing over). Therefore the number of linkage groups in an organism equals the number of chromosome types - i.e. the haploid (n) number. Drosophila (2n = 8) has 4 linkage groups.

NEET FOCUS: Number of linkage groups = haploid chromosome number (n). Drosophila has 4; humans have 23 linkage groups.",
Genetics,Linkage vs Crossing Over,Distinguish between linkage and crossing over.,"SHORT ANSWER: Linkage keeps genes on the same chromosome together (reduces new combinations); crossing over separates linked genes (creates new/recombinant combinations). They have opposite effects on variation.

LONG ANSWER: Linkage tends to preserve parental gene combinations because linked genes travel together. Crossing over, by exchanging chromosome segments, breaks linkage and produces recombinant types. The closer two genes lie, the stronger the linkage and the lower the crossing-over frequency, and vice versa.

NEET FOCUS: Linkage and crossing over are antagonistic - linkage maintains parental types, crossing over generates recombinants. Strength of linkage is inversely related to distance.",
Genetics,Sex Determination XY,Explain the XY type of sex determination in humans.,"SHORT ANSWER: In humans, females are XX (homogametic) and males are XY (heterogametic). The male produces two types of sperm (X or Y); the egg always carries X. The sperm decides the sex of the child.

LONG ANSWER: Of the 23 pairs of human chromosomes, 22 are autosomes and one pair is sex chromosomes. A female (XX) forms only X-bearing eggs, while a male (XY) forms X- and Y-bearing sperm in equal numbers. Fertilisation by an X-sperm gives a girl (XX); a Y-sperm gives a boy (XY). Hence the father determines the child's sex.

NEET FOCUS: In humans the MALE is heterogametic (XY); the sperm (X or Y) determines sex. Theoretical sex ratio = 1:1.",
Genetics,Sex Determination ZW,Describe the ZW and XO types of sex determination.,"SHORT ANSWER: In birds (ZW type) the female is heterogametic (ZW) and the male homogametic (ZZ). In some insects (XO type) females are XX and males are XO (one sex chromosome missing); the male is heterogametic.

LONG ANSWER: ZW system (birds, some reptiles): the female ZW produces two egg types, so the female determines sex. XO system (grasshoppers, bugs): males have a single X (no Y), females have XX; males produce sperm with or without X. Both differ from the human XY system in which sex chromosome decides sex.

NEET FOCUS: Birds -> ZW (female heterogametic). Grasshopper -> XO (male heterogametic, no Y). Honeybee -> haplodiploidy (males haploid).",
Genetics,Sex-Linked Inheritance,What is sex-linked inheritance? Give examples.,"SHORT ANSWER: Inheritance of genes located on sex chromosomes (mostly the X chromosome) is sex-linked inheritance. Examples: colour blindness and haemophilia (X-linked recessive in humans).

LONG ANSWER: X-linked recessive traits appear more often in males because they have only one X (hemizygous) - a single recessive allele is expressed. Females need both X alleles recessive to show the trait but can be carriers. Such traits typically pass from carrier mother to son (criss-cross inheritance).

NEET FOCUS: Colour blindness and haemophilia are X-linked recessive - commoner in males; carrier mothers pass them to sons (criss-cross inheritance).",
Genetics,Haemophilia,Explain the inheritance of haemophilia.,"SHORT ANSWER: Haemophilia is an X-linked recessive disorder in which blood fails to clot due to a missing clotting factor. It is far more common in males; females are usually carriers.

LONG ANSWER: The defective allele lies on the X chromosome. An affected male (X^h Y) inherits it from a carrier mother. A female is affected only if she inherits the allele on both X chromosomes (X^h X^h), which is rare because an affected father and carrier mother are both needed. Carrier females (X^H X^h) are symptom-free but pass it on.

NEET FOCUS: Haemophilia = X-linked recessive 'bleeder's disease'. The 'royal disease' traced to Queen Victoria. Affected females are rare.",
Genetics,Colour Blindness,Explain red-green colour blindness inheritance.,"SHORT ANSWER: Red-green colour blindness is an X-linked recessive defect of cone cells. Males (XY) need only one recessive allele to be colour blind; females need both X's defective, so it is rarer in females.

LONG ANSWER: The gene lies on the X chromosome. A colour-blind man (X^c Y) passes X^c to all daughters (carriers) but not to sons. A carrier mother (X X^c) passes the defect to half her sons. Thus the condition is much commoner in males and skips generations through carrier females.

NEET FOCUS: ~8% of men but <1% of women are red-green colour blind, because males are hemizygous for the X-linked recessive allele.",
Genetics,Mutation,Define mutation and list its types.,"SHORT ANSWER: A mutation is a sudden, heritable change in the DNA/genetic material. Types: gene (point) mutations and chromosomal mutations (changes in structure or number).

LONG ANSWER: Point/gene mutations alter the base sequence (substitution, insertion, deletion). Chromosomal mutations change chromosome structure (deletion, duplication, inversion, translocation) or number (aneuploidy, polyploidy). Mutations may be spontaneous or induced by mutagens (radiation, chemicals) and are a source of genetic variation and evolution.

NEET FOCUS: Frame-shift mutations arise from insertion/deletion of bases (not multiples of three); point mutation = single base change (e.g. sickle-cell anaemia: GAG -> GTG).",
Genetics,Sickle Cell Anaemia,Explain sickle-cell anaemia as a point mutation.,"SHORT ANSWER: Sickle-cell anaemia is an autosomal recessive disorder caused by a single base substitution (GAG -> GTG) in the beta-globin gene, replacing glutamic acid with valine at position 6, producing abnormal HbS that sickles RBCs.

LONG ANSWER: The point mutation alters one amino acid in the haemoglobin beta chain. Under low oxygen, HbS polymerises, distorting red cells into a sickle shape that block vessels and break easily. Homozygotes (HbS HbS) are severely affected; heterozygotes (HbA HbS) carry the trait and are resistant to malaria.

NEET FOCUS: Sickle-cell anaemia = autosomal recessive point mutation (Glu -> Val at 6th position of beta chain). Heterozygotes show malaria resistance (a balanced polymorphism).",
Genetics,Mendelian Disorders,Name common Mendelian disorders in humans.,"SHORT ANSWER: Single-gene (Mendelian) disorders include haemophilia, colour blindness, sickle-cell anaemia, thalassemia, phenylketonuria, cystic fibrosis, and Huntington's disease.

LONG ANSWER: Mendelian disorders result from alteration/mutation in a single gene and follow Mendelian inheritance. They may be autosomal (sickle-cell anaemia, thalassemia, PKU - recessive; Huntington's - dominant) or X-linked (haemophilia, colour blindness). They are traced through pedigree analysis.

NEET FOCUS: Distinguish autosomal recessive (sickle-cell, PKU, thalassemia) from X-linked (haemophilia, colour blindness) and autosomal dominant (Huntington's, Myotonic dystrophy).",
Genetics,Thalassemia,Distinguish thalassemia from sickle-cell anaemia.,"SHORT ANSWER: Thalassemia is an autosomal recessive disorder caused by reduced/absent synthesis of globin chains (a quantitative defect). Sickle-cell anaemia is caused by a structurally abnormal globin (a qualitative defect from a point mutation).

LONG ANSWER: In thalassemia, mutation or deletion reduces the rate of synthesis of alpha or beta globin chains, leading to fewer normal haemoglobin molecules and anaemia. In sickle-cell anaemia the chains are made normally but are structurally faulty (HbS). Thus thalassemia = quantitative problem; sickle-cell = qualitative problem.

NEET FOCUS: Thalassemia = quantitative defect (less globin); sickle-cell = qualitative defect (abnormal globin). Both autosomal recessive.",
Genetics,Chromosomal Disorders,What are chromosomal disorders? Give the example of Down's syndrome.,"SHORT ANSWER: Chromosomal disorders are caused by the absence, excess or abnormal arrangement of chromosomes. Down's syndrome is caused by trisomy of chromosome 21 (an extra chromosome 21).

LONG ANSWER: They arise from aneuploidy (failure of chromosome separation/non-disjunction during meiosis) or polyploidy. In Down's syndrome (trisomy 21), the individual has 47 chromosomes and shows short stature, characteristic facial features, and intellectual disability. Other examples include Klinefelter's and Turner's syndromes.

NEET FOCUS: Down's = trisomy of 21 (47 chromosomes). Caused by non-disjunction; risk rises with maternal age.",
Genetics,Klinefelter Turner,Describe Klinefelter's and Turner's syndromes.,"SHORT ANSWER: Klinefelter's syndrome = XXY (47, extra X) - phenotypically male, sterile, with some feminine features. Turner's syndrome = XO (45, one X missing) - phenotypically female, sterile, short, with undeveloped ovaries.

LONG ANSWER: Both result from non-disjunction of sex chromosomes. Klinefelter's (44 + XXY) individuals are males with gynaecomastia and reduced fertility. Turner's (44 + XO) individuals are females lacking a second sex chromosome, showing short stature and rudimentary ovaries. Both are sterile.

NEET FOCUS: Klinefelter -> XXY (extra X, male). Turner -> XO (missing X, female). Both due to aneuploidy from non-disjunction.",
Genetics,Non-disjunction,What is non-disjunction and what does it cause?,"SHORT ANSWER: Non-disjunction is the failure of homologous chromosomes (meiosis I) or sister chromatids (meiosis II) to separate during cell division, producing gametes with an extra or missing chromosome - leading to aneuploidy.

LONG ANSWER: When chromosomes fail to segregate, one gamete receives both members (n+1) and the other none (n-1). Fertilisation then gives trisomic (2n+1) or monosomic (2n-1) zygotes. This is the cause of Down's syndrome (trisomy 21), Klinefelter's (XXY) and Turner's (XO).

NEET FOCUS: Non-disjunction -> aneuploidy (trisomy/monosomy). Underlies Down's, Klinefelter's and Turner's syndromes.",
Genetics,Pedigree Analysis,What is pedigree analysis and why is it used?,"SHORT ANSWER: Pedigree analysis is the study of inheritance of a trait across several generations of a family using a standardised chart of symbols. It is used to trace the pattern of inheritance of genetic traits in humans.

LONG ANSWER: Since controlled crosses are impossible in humans, geneticists analyse family trees to determine whether a trait is dominant or recessive, autosomal or sex-linked, and to assess the risk of transmission. Squares represent males, circles females, and shaded symbols affected individuals.

NEET FOCUS: Pedigree symbols: square = male, circle = female, shaded = affected. Used to deduce autosomal vs X-linked and dominant vs recessive inheritance.",
Genetics,Punnett Square,What is a Punnett square?,"SHORT ANSWER: A Punnett square is a grid devised by R.C. Punnett used to predict the genotypes and phenotypes of offspring from a genetic cross by showing all possible gamete combinations.

LONG ANSWER: Gametes of one parent are written across the top and those of the other down the side; the boxes show the resulting offspring genotypes. It provides a quick visual way to derive expected ratios (e.g. 3:1 in a monohybrid, 9:3:3:1 in a dihybrid cross).

NEET FOCUS: Punnett square is a checkerboard for predicting offspring genotype/phenotype ratios. Devised by Reginald Punnett.",punnett_square.png
Genetics,Polyploidy,Define polyploidy and aneuploidy.,"SHORT ANSWER: Polyploidy is the presence of more than two complete chromosome sets (e.g. 3n, 4n). Aneuploidy is the gain or loss of one or a few chromosomes (e.g. 2n+1, 2n-1) due to non-disjunction.

LONG ANSWER: Polyploidy involves whole extra sets and is common in plants (often increasing vigour and yield); it is usually lethal in animals. Aneuploidy involves individual chromosomes and causes disorders like Down's, Turner's and Klinefelter's syndromes. Both are types of numerical chromosomal aberrations.

NEET FOCUS: Polyploidy = extra whole sets (common in plants); aneuploidy = a few extra/missing chromosomes (causes human syndromes).",
Genetics,Mendel Rediscovery,Who rediscovered Mendel's work and when?,"SHORT ANSWER: Mendel's work (published 1866) was rediscovered independently in 1900 by three scientists: Hugo de Vries, Carl Correns and Erich von Tschermak.

LONG ANSWER: Mendel's laws were ignored for ~34 years. In 1900 three botanists independently arrived at similar conclusions and acknowledged Mendel's priority, reviving interest in his work. This rediscovery launched modern genetics and was soon supported by the chromosomal theory.

NEET FOCUS: Rediscovered in 1900 by de Vries, Correns and von Tschermak - 34 years after Mendel's 1866 publication.",
Genetics,Why Mendel Succeeded,Give the reasons Mendel succeeded where earlier hybridisers failed.,"SHORT ANSWER: He studied one or two clearly contrasting traits at a time, used pure-breeding lines, kept careful quantitative (statistical) records over generations, and chose a suitable self-pollinating plant.

LONG ANSWER: Earlier workers looked at many vague traits together and did not count offspring. Mendel isolated discrete, easily scored characters, maintained true-breeding parents, raised large numbers, and applied mathematics to the ratios. His controlled, quantitative method let him deduce the underlying laws.

NEET FOCUS: Mendel's mathematical/statistical analysis of discrete traits in pure lines is the key reason for his success.",
Genetics,Wild Type,What is meant by wild type and mutant in genetics?,"SHORT ANSWER: Wild type is the normal, most common phenotype/allele found in a natural population; a mutant is a variant arising from a mutation that differs from the wild type.

LONG ANSWER: The wild-type allele usually produces a functional product and is taken as the standard reference. Mutant alleles result from changes in the wild-type gene and may be dominant or recessive. In Drosophila, red eyes are wild type while white eyes are a mutant studied by Morgan.

NEET FOCUS: Red eye in Drosophila = wild type; white eye = mutant (the trait Morgan used to discover sex linkage).",
Genetics,ABO Blood Cross,"If a man of blood group AB marries a woman of blood group O, what blood groups can their children have?","SHORT ANSWER: The children can be blood group A (I^A i) or B (I^B i), in a 1:1 ratio. They cannot be AB or O.

LONG ANSWER: AB father is I^A I^B; O mother is ii. Gametes: father gives I^A or I^B; mother gives i only. Offspring genotypes: I^A i (group A) and I^B i (group B), each 50%. No child can be AB (would need both I^A and I^B) or O (would need ii).

NEET FOCUS: AB x O -> 50% A and 50% B; never AB or O. A classic blood-group genetics MCQ.",
Genetics,Number of Gametes,How many types of gametes does an individual with genotype AaBbCc produce?,"SHORT ANSWER: 2^n types, where n = number of heterozygous gene pairs. Here n = 3, so 2^3 = 8 types of gametes.

LONG ANSWER: Each heterozygous pair contributes two allele choices that assort independently, so the number of distinct gametes = 2^(number of heterozygous pairs). For AaBbCc (three heterozygous pairs), 2 x 2 x 2 = 8 gamete types. Homozygous pairs do not increase the variety.

NEET FOCUS: Gamete types = 2^(heterozygous pairs). Count only heterozygous loci. AaBbCC would give 2^2 = 4 types.",
Genetics,F2 Genotype Number,"In a dihybrid cross, how many genotypes and phenotypes appear in F2?","SHORT ANSWER: F2 of a dihybrid cross shows 9 genotypes and 4 phenotypes (phenotypic ratio 9:3:3:1; genotypic ratio 1:2:1:2:4:2:1:2:1).

LONG ANSWER: With two heterozygous gene pairs, the F1 (RrYy) self-cross gives 3 x 3 = 9 genotype classes and 2 x 2 = 4 phenotype classes. In general for n heterozygous pairs there are 3^n genotypes and 2^n phenotypes (assuming complete dominance and independent assortment).

NEET FOCUS: Genotypes = 3^n, phenotypes = 2^n (n = heterozygous pairs). Dihybrid: 3^2 = 9 genotypes, 2^2 = 4 phenotypes.",
Genetics,Variation Sources,List the main sources of genetic variation in sexually reproducing organisms.,"SHORT ANSWER: (1) Crossing over (recombination) during meiosis, (2) independent assortment of chromosomes, (3) random fertilisation, and (4) mutation.

LONG ANSWER: Sexual reproduction shuffles alleles through crossing over and independent assortment of chromosomes during meiosis, and through the random union of gametes at fertilisation. Mutation introduces entirely new alleles. Together these generate the variation on which natural selection acts.

NEET FOCUS: Recombination + independent assortment + random fertilisation reshuffle existing alleles; mutation creates new ones. All four fuel variation.",
Genetics,Lethal Genes,What are lethal genes? Give an example of an altered ratio they produce.,"SHORT ANSWER: Lethal genes cause death of the carrier, usually in the homozygous condition, altering normal Mendelian ratios. Example: yellow body colour in mice - the homozygous (YY) dies, giving a 2:1 ratio instead of 3:1.

LONG ANSWER: A dominant lethal allele kills homozygous dominants before birth, so a cross of two heterozygotes (Yy x Yy) yields surviving offspring in a 2 yellow (Yy) : 1 non-yellow (yy) ratio rather than 3:1, because the YY class dies. Such genes modify expected Mendelian ratios.

NEET FOCUS: A recessive-lethal in the dominant phenotype converts 3:1 into 2:1 among survivors (e.g. yellow mice, AA lethal).",
Genetics,Epistasis,What is epistasis?,"SHORT ANSWER: Epistasis is a gene interaction in which one gene (the epistatic gene) masks or suppresses the expression of another gene (the hypostatic gene) at a different locus, modifying the dihybrid ratio.

LONG ANSWER: Unlike dominance (between alleles of the same gene), epistasis is interaction between alleles of different genes. It alters the classical 9:3:3:1 dihybrid ratio into modified ratios such as 12:3:1 (dominant epistasis), 9:3:4 (recessive epistasis) or 9:7. It explains many coat-colour and flower-colour patterns.

NEET FOCUS: Epistasis = inter-genic masking (different loci); modifies 9:3:3:1 into 12:3:1, 9:3:4, 9:7 etc. Distinguish from dominance (intra-genic).",
